链接地址,标题,内容
https://www.xiaohongshu.com/explore/642a3f7e0000000027002e51,ChatGPT带我1小时写出Python爬虫,之前从来没有接触过Python编程，只有一点java经验 	 一直想学Python编程，但是感觉要花好多时间才能学会爬虫。 	 按照ChatGPT指导，1个小时就学会了，而且ChatGPT还给了好多文档资料让我参考 	 以下是我与ChatGPT交流的提示词，有需要同学可收藏： 	  我想学习python编程语言，但我没有任何经验，请指导我学习，从环境安装开始  安装好Python后，如何将Python加入系统环境变量中。  我已搭建好环境，请教我写第一个python程序，并解释语法  请列举一些常用语法，并解释如何使用  请教我写一个简单的爬虫代码，并解释其中的原理
https://www.xiaohongshu.com/explore/62ece3aa000000001203bd76,Python自学就足够！非计算机专业经验总结,HI大家好，我是Faye发发酱，跟大家分享一个开心的消息：我通过了之前一直很担心的python笔试！因为我现在也到了研三找工作的阶段了，虽然投的是非技术岗，但是有的岗位竟然考python。。搞得我慌了好久，好在已经顺利通过啦，因此也跟大家，尤其是人文科专业自学python的同学们分享我的python 自学方法，亲测有效！ 	 1⃣️先学基础语法，了解一下代码基础 （学过其它语言的同学可以略过这步）编程小白学python一定从这一步开始，先把基础的语法搞定。这里我当时用的资料主要是以下图书： 🌟 python编程 从入门到实践 优点：文科生也能看懂的python自学教程，我自己用一个假期跟着这书边看写写代码。开始真正入门python 缺点：对小白来说块头太大，后半部分的项目实例可以不看，不是纯搞技术的同学看项目实例意义不大 	 2⃣️有了代码基础就动手刷题，这才是重点 刷题工具可以了解下PythonTip，题目难度从简单入门级，到中等难度再到难题都有覆盖。而且在线编译环境，连环境配置和IDE安装都省去了 另外如果有系统化python学习需求，但是大家又担心自己自制力/代码基础差，可以了解下网站的“从零开始学python”，除了系统教程之外，还有一对一老师答疑，这个是看书或网课不能代替的，感觉很多小白同学肯定很需要这个，大家可参考~ 	 3⃣️ 代码的尽头是GitHub 我发现很多新手小白不了解很多非常有价值的互联网资源，比如调包侠们的天堂GitHub，想用代码做一件事之前，可以先到这里搜一下，会发现有很多现成的Python代码可以使用，比自己造轮子快多了。比如我师兄的毕业论文，数据就是某博抓取的内容，当时问师兄他怎么做的，他直接丢了一个GitHub项目链接给我… 🌟写在后面： 感觉我的经历和这句鸡汤好像，和大家共勉：“18岁觉得英文难，放弃英文，28岁出现一个很棒但要会英文的工作，你只好说我不会。人生前期越嫌麻烦，越懒得学，后来就越可能错过让你动心的人和事，错过新风景。”读书时觉得Python编程难，毕业时遇到一个你很想要的工作机会需要会写python，但是我们告诉它：这题我还真会！@校园薯 @薯队长 @知识薯
https://www.xiaohongshu.com/explore/6423f205000000001303e19d,🔥Python常用的100个函数,🔥Python常用的100个函数，初学Python 熟悉这些，可以大大提高编程效率👍🏻
https://www.xiaohongshu.com/explore/6419a7b700000000070382cb,过来人忠告：提醒那些准备学Python的人,🙋🏻♀️作为过来人，真的劝没事干的小伙伴可以学一下Python . 前段时间有个学妹在后台和我说她想转行，但是很迷茫，让我给她一点建议。后面我找到她，她给我说她现在的情况，我听后给她讲了一些IT相关的规划，她学习了4个多月后，投了简历，也是成功找到一份实习💰10k，转正15K的工作。 👏如果有和学妹一样情况的，比较迷茫，找不到好的工作，工资又低，不妨试试Python。掌握Python语言这一条写在简历里就是很大的加分项！且以后工作免不了要与各种数据打交道 . 🔷分享一下Python的学习路线 👉第.一阶段Python基础。这是Python的入门阶段也是帮助零基础的人打好基础的重要阶段！ 👉第二阶段Web全栈。可以掌握掌握Web前端技内容、Web后端框架，并熟练使用Flask、Tornado、ango。 👉第三阶段数据分析+人工智.能。可以掌握爬虫、数据采集，数据机构与算法进阶和人工智.能技术。 👉第四阶段高级进阶。可以掌握自动化运维与区t链开发技术，可以完成自动化运维项目、区块链等阶段项目。 . 🔷我的python学习法则是： 👉一定要手动敲代码，不要复制粘贴。 只有手动大脑才会留下记忆，加深学习过程印象，所有的操作步骤都经过思考进行的，才能记的牢固 👉不要害怕出错。 很多人一开始学习就是害怕打错一个代码，其实错是正常的，就是要反复的错误中找出正确答案，输入错误的时候代码回给出反馈，这样就会激发你的思考，加深记忆 👉不要死记硬背 python有很多的代码库，不可能记得完整，蕞好的方式是多练去掌握解题思路，这样你在遇到相似代码时候自然就会熟悉知道下一步该写什么 . ⭕其实Python简单易学，我学过很多门编程语言，JAVA、C、C++…，我觉得它的简单程度是在其中排首位🔝的 如果不喜欢现在的专业，或者是不太好就业的专业，可以利用Python实现转行，比如转到数据分析行业、web开发、数据库等 还有很多实际的功能，比如根据数据画图表、批量处理文件和数据等，很多机械性任务都可以交给它去做           #在工作中你会怎么摸鱼 
https://www.xiaohongshu.com/explore/6419a7b700000000070382cb,过来人忠告：提醒那些准备学Python的人,🙋🏻♀️作为过来人，真的劝没事干的小伙伴可以学一下Python . 前段时间有个学妹在后台和我说她想转行，但是很迷茫，让我给她一点建议。后面我找到她，她给我说她现在的情况，我听后给她讲了一些IT相关的规划，她学习了4个多月后，投了简历，也是成功找到一份实习💰10k，转正15K的工作。 👏如果有和学妹一样情况的，比较迷茫，找不到好的工作，工资又低，不妨试试Python。掌握Python语言这一条写在简历里就是很大的加分项！且以后工作免不了要与各种数据打交道 . 🔷分享一下Python的学习路线 👉第.一阶段Python基础。这是Python的入门阶段也是帮助零基础的人打好基础的重要阶段！ 👉第二阶段Web全栈。可以掌握掌握Web前端技内容、Web后端框架，并熟练使用Flask、Tornado、ango。 👉第三阶段数据分析+人工智.能。可以掌握爬虫、数据采集，数据机构与算法进阶和人工智.能技术。 👉第四阶段高级进阶。可以掌握自动化运维与区t链开发技术，可以完成自动化运维项目、区块链等阶段项目。 . 🔷我的python学习法则是： 👉一定要手动敲代码，不要复制粘贴。 只有手动大脑才会留下记忆，加深学习过程印象，所有的操作步骤都经过思考进行的，才能记的牢固 👉不要害怕出错。 很多人一开始学习就是害怕打错一个代码，其实错是正常的，就是要反复的错误中找出正确答案，输入错误的时候代码回给出反馈，这样就会激发你的思考，加深记忆 👉不要死记硬背 python有很多的代码库，不可能记得完整，蕞好的方式是多练去掌握解题思路，这样你在遇到相似代码时候自然就会熟悉知道下一步该写什么 . ⭕其实Python简单易学，我学过很多门编程语言，JAVA、C、C++…，我觉得它的简单程度是在其中排首位🔝的 如果不喜欢现在的专业，或者是不太好就业的专业，可以利用Python实现转行，比如转到数据分析行业、web开发、数据库等 还有很多实际的功能，比如根据数据画图表、批量处理文件和数据等，很多机械性任务都可以交给它去做           #在工作中你会怎么摸鱼 
https://www.xiaohongshu.com/explore/636eeb9c00000000240211ea,学生党必看｜期末Python笔记干货总结,一期Python零基础干货分享，编程真的很重要啦～在学习日常中必不可少，记下这些基础干货，利用碎片化时间悄悄学习，期末告别不及格～
https://www.xiaohongshu.com/explore/63e3152a00000000080042e6,Python基础知识背记👍,✅Python基础知识背记手册 👉该说不说，对Python新人小白来说，真的很实用👍
https://www.xiaohongshu.com/explore/642fb580000000001303fca5,零基础入门Python学习大全,Python最佳学习路线来了，想要入门学习的小伙伴们，千万不要错过了。 踢踢
https://www.xiaohongshu.com/explore/631eca49000000001101594b,这是我最近用Python接的一个小活,前几天接了个私活，今天把它分享给大家，客户需求是要把2000多个Word文件合并成一个Excel表格，这样客户就不需要打开每一个Word文件查看数据，直接打开一个Excel表格就可以看到所有数据了。 	 经过简单的分析之后，花了3个多小时完成了开发和调试，代码开发流程如下： 1⃣️ 遍历目录中所有的Word文件 2⃣️ 读取所有Word文件中的文本数据 3⃣️ 把读出来的所有数据组合成为json格式 4⃣️ 解析json数据并将数据对应写入到Excel表格中 5⃣️ 校对数据的准确性，交付客户 	 有兴趣的小伙伴可以去读一下代码，可以在代码中学习到：读取Word文件、组合解析json数据、创建Excel表格等程序的编写方法。
https://www.xiaohongshu.com/explore/5f8d6299000000000101ff81,大学get新技能|自学Python|提高简历含金量,"👊👊大家好！从七月斗志满满开始学习Python，经过将近三个月的苦战，和大家分享一波我的Python学习干货！ · 高能预警，细水长流不如短期猛攻！Python圈里，流传着这样一句话——三个月你能学会Python，六个月你不一定学不会Python。强调的就是短期高效学习的重要！那么零基础要怎么学习Python？ · 2⃣明确自己为什么要学？我呢！是因为之前在做实习生的时候，处理数据实在太慢啦！我想做数据快些实习生的苦，实在扛不住了 	 3⃣学习网站 	 学习心得 ✔️练习题是一定要做的，建议大家：不要轻易看别人写好的现成代码！！必须自己想，自己编，自己调试！错了没关系，一定要有自己思索的过程！ ✔️万事开头难，一定要坚持 · 今天我掏出家底,给大家分享一个私藏了2年学习资源,让你尽情自学Python,从此自学不求人。 重点是都免费!都免费! . Python开发环境安装教程🈶 Python400集自学视频🈶 60本电子书PDF电子版🈶 软件开发常用词汇🈶 项目源码案例分享🈶 数据分析与爬虫🈶 .  以上分享是我学习过程中看了很多的教程之后筛选出来的适合新手快速学习 python的教程,少即是多,按照教程方向,入们门到精通绝对不是问题。 如果你也想掌握一门技能,就从现在开始学习让自己变得更好吧。 . 以上资料获取流程： 1.点击头像 2.后台单独回复“Python”即可! 3.評論區回復“学习” 切记是单独回复!可以的话最好点点点闋注会更方便发你！ ·"
https://www.xiaohongshu.com/explore/62f9051b0000000012009854,自学Python「爬虫」：实例操作,自学Python 	 每天学一点，从基础开始💪
https://www.xiaohongshu.com/explore/6422dd2800000000130168fc,用python画满樱花树,"用 Python画满树樱花 关于turtle库 turtle 库是Python 语言中一个很流行的绘制因像的西数库，想象一个小乌龟，在一个 横轴为x、纵轴为 y的坐标系原点，(0,0)位登开始，它根据一组西数指令的控制， 在这个平面坐标系中移动，从而在它爬行的路径上绘制了图形 turtle常用函数 forward(距离)小海龟向前移动点数 backward(距离)小海龟后退移动点数 left(角度）小海龟的现有方向下左转指定度数 right(角度)小海龟的现有方向下右转指定度数 circle (半径）画圆 pd()画笔落下 pu() 画笔抬起 pensize(宽度）设置画笔的宽度 pencolor(颜色） 设置画笔勾线颜色 speed(速度） 设置小海龟移动的速度"
https://www.xiaohongshu.com/explore/63578b83000000001601d4e5,背下来！你就是python大师！,Python是如今写代码最常用的工具之一，那么如何能够快速的，便捷的，顺利的使用Python这个工具呢？ 这236个单词背下来，你就是一代Python大师！！
https://www.xiaohongshu.com/explore/63a04703000000001902038f,一个月速成Python❓❗学习Python的经验分享,最近发现有很多小伙伴在寒假都有着自学Python的想法，但却不知去哪里找到合适的课程资源。说到这那么热爱Python的我就有话说了！ 这期和大家分享作为一个0基础的人，我是如何在一个月内完成Python入门的，掌握了Python基础和Anaconda的。 - Python有什么帮助呢？ 其实，无论你是学生党还是打工人，Python最大的作用就是提高我们的效率，增强个人竞争力。例如： ✔人事行政岗位：用Python进行公司资产盘点，整理和记录，自动生成考勤，考勤后的薪资计算。 ✔财务岗位：使用Python完成庞大的税务数据统计，公司整体财务分析，以及第二年的支出预测。 ✔新媒体岗位：爬取评论、抓取门户网站信息，往大数据方向提升。 - 零基础学习编程，一定要多动手实践。如果跟教材学习，尽量把里面的例子都亲自敲一遍，代码是敲出来的。 - 最好选择Python3。Python3和Python2区别还是比较大，以后环境肯定是更多使用Python3。 语言环境，计算机小白，推荐使用Anaconda+Pycharm吧。直接下载安装，步骤非常简单。 - 至于我当时用的具体的学习渠道，可以看图。 - 请时刻牢记： - Python是工具，对于和我一样非专业人士而言，学会使用Python最重要，不强求你熟知理论知识，实际操作才是硬道理！             @小红书成长助手
https://www.xiaohongshu.com/explore/6433e26a00000000130073c2,欢乐谷商业数据分析🎉附python源码呦~,今天小编给大家带来的是利用python挖取网络上所有欢乐谷的地方价格、销量数据，并做成美观清晰的可视化图表，接着会生成一份详细并且很科学的商业数据分析报告和销售建议。 ㊙️可以用来做毕业设计或期末作业项目呦~
https://www.xiaohongshu.com/explore/63a90ac6000000001b025c7e,💞Python经典习题100道，看到就是赚到,分解质因数 输出日期 猴子偷桃 斐波那契数列 画菱形 递归输出 ...... 经典习题100题 刷到就是赚到
https://www.xiaohongshu.com/explore/642fb580000000001303fca5,零基础入门Python学习大全,Python最佳学习路线来了，想要入门学习的小伙伴们，千万不要错过了。 踢踢
https://www.xiaohongshu.com/explore/63f0a68b000000001301373c,Python学习100个常用函数汇总❗可速查速用,大家好 最近把Python💯个常用函数整理了一下，从最基础的输入输出函数到正则等12个板块，方便用的时候可以快速过一下，加深学习!
https://www.xiaohongshu.com/explore/62ad6af00000000001029e8f,Python的主要用途是什么 建议收藏💕,📖Python主要的五大应用介绍： 一、Web开发✨ Python的诞生历史比Web还要早，由于Python是一种解释型的脚本语言，开发效率高，所以非常适合用来做Web开发。 Python有上百种Web开发框架，有很多成熟的模板技术，选择Python开发Web应用，不但开发效率高，而且运行速度快 二、网络爬虫✨ 网络爬虫是Python比较常用的一个场景，国际上google在早期大量地使用Python语言作为网络爬虫的基础，带动了整个Python语言的应用发展。 💡如：从各大网站爬取商品折扣信息，比较获取最优选择；对社交网络上发言进行收集分类，生成情绪地图，分析语言习惯；爬取网易云音乐某一类歌曲的所有评论，生成词云；应用实在太多，几乎每个人学习爬虫之后都能够通过爬虫去做一些好玩有趣有用的事。 三、人工智能✨ 人工智能的核心算法大部分还是依赖于C/C++的，因为是计算密集型，需要非常精细的优化，还需要GPU、专用硬件之类的接口，这些都只有C/C++能做到。 而Python是这些库的API binding，使用Python是因为CPython的胶水语言特性，要开发一个其他语言到C/C++的跨语言接口，Python是最容易的，比其他语言的门槛要低不少，尤其是使用Cython的时候。 四、数据分析✨ 数据分析处理方面，Python有很完备的生态环境。&quot;大数据”分析中涉及到的分布式计算、数据可视化、数据库操作等，Python中都有成熟的模块可以选择完成其功能。对于Hadoop-MapReduce和Spark，都可以直接使用Python完成计算逻辑，这无论对于数据科学家还是对于数据工程师而言都是十分便利的。 五、自动化运维✨ Python对于服务器运维而言也有十分重要的用途。由于目前几乎所有Linux发行版中都自带了Python解释器，使用Python脚本进行批量化的文件部署和运行调整都成了Linux服务器上很不错的选择。 以上就是python的主要用途是什么的详细内容📖    #
https://www.xiaohongshu.com/explore/6419a7b700000000070382cb,过来人忠告：提醒那些准备学Python的人,🙋🏻♀️作为过来人，真的劝没事干的小伙伴可以学一下Python . 前段时间有个学妹在后台和我说她想转行，但是很迷茫，让我给她一点建议。后面我找到她，她给我说她现在的情况，我听后给她讲了一些IT相关的规划，她学习了4个多月后，投了简历，也是成功找到一份实习💰10k，转正15K的工作。 👏如果有和学妹一样情况的，比较迷茫，找不到好的工作，工资又低，不妨试试Python。掌握Python语言这一条写在简历里就是很大的加分项！且以后工作免不了要与各种数据打交道 . 🔷分享一下Python的学习路线 👉第.一阶段Python基础。这是Python的入门阶段也是帮助零基础的人打好基础的重要阶段！ 👉第二阶段Web全栈。可以掌握掌握Web前端技内容、Web后端框架，并熟练使用Flask、Tornado、ango。 👉第三阶段数据分析+人工智.能。可以掌握爬虫、数据采集，数据机构与算法进阶和人工智.能技术。 👉第四阶段高级进阶。可以掌握自动化运维与区t链开发技术，可以完成自动化运维项目、区块链等阶段项目。 . 🔷我的python学习法则是： 👉一定要手动敲代码，不要复制粘贴。 只有手动大脑才会留下记忆，加深学习过程印象，所有的操作步骤都经过思考进行的，才能记的牢固 👉不要害怕出错。 很多人一开始学习就是害怕打错一个代码，其实错是正常的，就是要反复的错误中找出正确答案，输入错误的时候代码回给出反馈，这样就会激发你的思考，加深记忆 👉不要死记硬背 python有很多的代码库，不可能记得完整，蕞好的方式是多练去掌握解题思路，这样你在遇到相似代码时候自然就会熟悉知道下一步该写什么 . ⭕其实Python简单易学，我学过很多门编程语言，JAVA、C、C++…，我觉得它的简单程度是在其中排首位🔝的 如果不喜欢现在的专业，或者是不太好就业的专业，可以利用Python实现转行，比如转到数据分析行业、web开发、数据库等 还有很多实际的功能，比如根据数据画图表、批量处理文件和数据等，很多机械性任务都可以交给它去做           #在工作中你会怎么摸鱼 
https://www.xiaohongshu.com/explore/628260d6000000000102571c,70个python练手项目+源码，干货满满‼️,学习最怕什么？🤔肯定是对所学的内容失去兴趣了！ 学python也是一样的，死记硬背没有用，融会贯通才是硬道理！ 这里整理了70个Python实战项目列表，都有完整且详细的教程✨，你可以从中选择自己想做的项目进行参考学习练手，你也可以从中寻找灵感去做自己的项目~ 👉适合-零基础-初学者-毕业设计-日常练手都很不错✌️
https://www.xiaohongshu.com/explore/63fdce9e0000000027001fe6,23个Python实战项目，附源代码+超全讲解,👉哈喽，大家好，今天作者给大家分享一份Python实战教程，从23个项目入手，共计23个章节，580页内容，超详细！附带全部源码及开发流程中的相关技术、重难点说明。 ✔✔✔ 👉内容涵盖： 1⃣️数据分析（开心麻花影视作品分析、Excel数据分析） 2⃣️小游戏（简易五子棋、玛丽冒险、飞机大战） 3⃣️实用小工具（DIY字符画、超级画板、Word助手、图片批量处理器） 4⃣️人工智能（智能停车场车牌识别计费系统、AI智能联系人管理系统） 5⃣️Web开发（51商城、BBS问答社区、甜橙音乐网、智慧校园评测） 6⃣️网络爬虫（RCQ读者书库、火车票分析助手、高德地图+58租房） 7⃣️微信小程序（看图猜成语、今天吃什么、微信机器人） ✔ 赶快学习起来吧💪💪💪
https://www.xiaohongshu.com/explore/643237510000000013004db9,各种算法的python实现方案，让你轻松学会,你还为不知道怎么实现python算法而苦恼吗？今天小编整理了一份各种算法的python实现方案。 快来收藏学习吧
https://www.xiaohongshu.com/explore/62d179c4000000001200b258,🌈Python初学必会的69个内置函数,"🌈Python内置函数, 是Python自带的可以直接拿来直接用的函数，比如大家熟悉的print，range、input等，也有不是很熟，但是很重要的，如enumerate、zip、join等，这些函数非常精巧且强大。 	 🔥Python初学者们常常会忽略这些函数，导致代码读起来会比较糟糕，明明有内置函数可以使用，却要自己写一个，还不一定好用 	 所以Python初学者掌握这些内置函数是有很多好处的，写出的代码简洁易读，方便又实用，值得花时间学习🤗"
https://www.xiaohongshu.com/explore/6232fde5000000000102f26a,初识Python,"#python   #python学习   #程序员   #编程   #软件测试   #学习软件测试。大家好我是小谭今天开始跟大家讲解拍摄首先我们来认识一下拍摄拍摄有哪些优点呢一个是他简洁明了它比其他的编程语言更容易上手更容易的学习第二一个是他开放的圆码因此呢它有强大的一个社区生态有很多的框架和第三方顾可供我们使用第三一个是拍摄代码可以作用于不同的操作系统第四一个是他支持两种主流的变成范式比如面向对象编程和函数式编程不学的小伙伴可能对这两个概念有所陌生不用担心后面我们讲到那么,呢缺点是哪些呢第一个它的执行效率很低不如 c语言和 c加加语言第二一点社区生态多它的框架也多这是它的一个优点但同时也是它的一个缺点啊它的框架太多了比如他的微博框架就有一百个我们会有选择了困难症学费了吗我的铁粉们"
https://www.xiaohongshu.com/explore/6424e9ae000000002702abaa,5天背完，你的Python 就牛了！,Python 基础知识背记🧳 🪣该说不说，对Python新人小白来说，真的很实用！ 不管我们学习哪一门编程语言，基础知识都要掌握扎实，基础功非常的重要。 ☄️也不管我们学习的目的是什么，不得不说Python 都是一门值得付出时间去学习的优秀编程语言。 	 📣📣Python背记手册，随时查阅
https://www.xiaohongshu.com/explore/6436239f000000001301470d,Python入门必备，软件基金会主席潜心力作,👉🏻👉🏻Python软件基金会主席潜心力作，历经三版锤炼，Python入门、进阶全面覆盖，大量Python 3.6源代码示例，边做边学，完整项目案例，指导开发实践，配备精深习题及答案，方便自学。👈👈 🔴书名：Python快速入门 🔴豆瓣评分：8.7分 🔴作者： 娜奥米·塞德（ Naomi Ceder ） ►►娜奥米·塞德（Naomi Ceder）是Python软件基金会主席。自2001年以来，她一直在学习、使用和教授Python。◄◄ ►►她的编程生涯已经持续了近30年，使用过多种编程语言，做过Linux系统管理员、编程教师、开发人员和系统架构师。她从2001年开始使用Python，从此向各个层次的用户讲授Python，从12岁的孩子到专业编程人员都有。◄◄ ■■■■■■ 🔴内容简介： 本书分为部分， ✔️第部分讲解Python的基础知识，对Python进行概要的介绍； ✔️第部分介绍Python编程的重点，涉及列表、元组、集合、字符串、字典、流程控制、函数、模块和作用域、文件系统、异常等内容； ✔️第部分阐释Python的高级特性，涉及类和面向对象、正则表达式、数据类型即对象、包、Python库等内容； ✔️第部分关注数据处理，涉及数据文件的处理、网络数据、数据的保存和数据探索，最后给出了相关的案例。 ■■■■■■ 🔴推荐理由： 本书框架结构清晰，内容编排合理，讲解循序渐进，并结合大量示例和习题，让读者可以快速学习和掌握Python，既适合Python初学者学习，也适合作为专业程序员的简明Python参考书。👍🏻👍🏻
https://www.xiaohongshu.com/explore/60ab2b7f00000000210388d2,Python数据可视化｜交互式高逼格｜含自学资源,交互式的数据可视化图，可以更加直观、方便的观察数据，并且更加方便去拆分维度的分析数据背后的故事。 - 在小红书做Python/SQL/数据可视化/数据分析的初心是为了更好的沉淀自己所学的东西，并且和大家分享我所掌握的，一起变的更好。很开心在2年来的时间里，大家陪着我一起零基础的学习、硕士Distinction的毕业、拿到大厂的数据开发的校招Offer。 - 由于现在工作日常会很忙，Python做数据可视化的教程不能更新的很及时，之前也分享了很多学习数据可视化的资源、网站，大家都可以用起来！有问题我们一起交流，然后变得更好！ 	 数据可视化｜数据分析｜Python @日常薯  @校园薯  @知识薯  @薯队长 #办公软件使用技巧
https://www.xiaohongshu.com/explore/64086d380000000013007931,100天带你学Python - Day3,"Day3 介绍一下Python的基础数据类型 &gt;&gt;&gt; 数学中有无理数和无理数、质数和合数，Python的数据也有特定的类别。在实际编写代码时，可以根据不同的需求选择合适的数据类型。 &gt;&gt;&gt; Python的数据类型按照单个元素和集合元素分别分类： 🔢 单个元素（详见p2）： 1. 整数：包括正负数和0 2. 浮点数：带有小数点的数，哪怕只是带了小数点的整数，例如0.0或-5.0 3. 布尔值：唯二的值True和False，对应自然语言中的“是”和“否” 4. 字符串：引号括住一切，包括&quot;a&quot;, &quot;1&quot;, &#39;3.14&#39;, &quot;string&quot;等 📚 集合元素（详见p3）： 有序集合： 1. 列表：任意数据类型、可变 2. 元组：任意数据类型、不可变 无序集合： 3. 集合：元素具有唯一性，概念类似于数学中的集合 4. 字典：键值对，每个键对应一个值 应用场景如存储每个学生的分数：{&quot;Sam&quot;: 92, &quot;Lucy&quot;: 94, &quot;Mark&quot;: 83} &gt;&gt;&gt; p4：列表的元素和索引 p5：元组vs列表 p6：一些常用的集合操作函数"
https://www.xiaohongshu.com/explore/619e39f80000000021038eb3,地表最全汇总🤹一表入门Python运算符‼️,0基础入门Python  Day 63 刷到的宝来学一个Python重点知识吧💁🏻‍♀️✨ 	 ——————————— 	 最近敲代码的时候，各个算运算符傻傻分不清楚🤒 索性一次整理下来，常翻出来康康 同学们一起来看一下吧 	 1⃣️ 算术运算符 算术运算符是对运算数进行算术运算的一系列符号。 	 2⃣️ 比较运算符 比较运算符用于对比数之间的大小或是否相等。 	 3⃣️ 赋值运算符 赋值运算符用于变量的赋值和更新。 	 4⃣️ 按位运算符 十进制数被人们广泛使用，但对于计算机而言，二进制数反而是更重要的，计算机的一切计算都建立在二进制数计算的基础上。按位运算是一种将十进制数转为二进制数再进行运算的过程。 	 5⃣️ 逻辑运算符 逻辑运算即判断事物之间的“与”“或”“非”关系，Python中的逻辑运算符包含and、or、not。 	 6⃣️ 身份运算符 身份运算符用于比较两个对象的储存单位。 	 🌟 详细示例同学们看图哦~~ 还有运算符优先级也不要错过啦✨ 	 今天就到这里啦，更多Python知识点可以看我主页哦 我会持续更新入门知识点的，我们一起加油吧✌️️🥳✌️️ 	        @知识薯
https://www.xiaohongshu.com/explore/6433da5e000000001203ea00,Python黑客全套白嫖，很难找这么全了,Python+Kali网络安全黑客技术全教程，错过了这村就没这店了。 60全套教程包括内容干货+实战演习+模拟靶场训练 ，零基础小白一定不能错过√
https://www.xiaohongshu.com/explore/642fb61b000000001303c14a,Python记不住函数代码怎么办？！,哈喽薯宝们，大家好呀~ 👉对于很多编程小白来说，不熟悉的代码，海量的函数语法，都会严重影响学习的进度 👉今天十七就给大家分享一份Python函数速查手册，每个函数都有相应的描述，想不起来函数时随手查一下，灵感不就来了吗 @知识薯
https://www.xiaohongshu.com/explore/6145a13b0000000001029264,python基础第一课：变量及基本运算,python学习第一课，变量及基本运算学习
